filename,group,method,metric,width,height,green_dx,green_dy,red_dx,red_dy,seconds,output,preview
loc_in_italy.tif,extra,pyramid,l2,3807,3247,8,26,12,88,7.245,outputs/loc_in_italy_pyramid_l2.jpg,assets/loc_in_italy_pyramid_l2.jpg
loc_in_italy.tif,extra,pyramid,ncc,3807,3247,8,26,12,88,13.381,outputs/loc_in_italy_pyramid_ncc.jpg,assets/loc_in_italy_pyramid_ncc.jpg
loc_locomotive.tif,extra,pyramid,l2,3741,3238,6,42,32,87,7.339,outputs/loc_locomotive_pyramid_l2.jpg,assets/loc_locomotive_pyramid_l2.jpg
loc_locomotive.tif,extra,pyramid,ncc,3741,3238,6,43,32,87,14.958,outputs/loc_locomotive_pyramid_ncc.jpg,assets/loc_locomotive_pyramid_ncc.jpg
loc_nikolskii_gates.tif,extra,pyramid,l2,3732,3228,27,64,38,140,6.853,outputs/loc_nikolskii_gates_pyramid_l2.jpg,assets/loc_nikolskii_gates_pyramid_l2.jpg
loc_nikolskii_gates.tif,extra,pyramid,ncc,3732,3228,27,65,38,140,12.345,outputs/loc_nikolskii_gates_pyramid_ncc.jpg,assets/loc_nikolskii_gates_pyramid_ncc.jpg
cathedral.jpg,provided,pyramid,l2,390,341,2,5,3,12,0.297,outputs/cathedral_pyramid_l2.jpg,assets/cathedral_pyramid_l2.jpg
cathedral.jpg,provided,pyramid,ncc,390,341,2,5,3,12,0.679,outputs/cathedral_pyramid_ncc.jpg,assets/cathedral_pyramid_ncc.jpg
church.tif,provided,pyramid,l2,3634,3202,4,25,270,64,5.337,outputs/church_pyramid_l2.jpg,assets/church_pyramid_l2.jpg
church.tif,provided,pyramid,ncc,3634,3202,4,25,-4,58,11.962,outputs/church_pyramid_ncc.jpg,assets/church_pyramid_ncc.jpg
emir.tif,provided,pyramid,l2,3702,3209,24,49,42,71,6.388,outputs/emir_pyramid_l2.jpg,assets/emir_pyramid_l2.jpg
emir.tif,provided,pyramid,ncc,3702,3209,24,49,45,78,17.403,outputs/emir_pyramid_ncc.jpg,assets/emir_pyramid_ncc.jpg
harvesters.tif,provided,pyramid,l2,3683,3218,16,59,13,124,7.504,outputs/harvesters_pyramid_l2.jpg,assets/harvesters_pyramid_l2.jpg
harvesters.tif,provided,pyramid,ncc,3683,3218,17,60,14,124,12.743,outputs/harvesters_pyramid_ncc.jpg,assets/harvesters_pyramid_ncc.jpg
icon.tif,provided,pyramid,l2,3741,3244,17,41,23,89,6.912,outputs/icon_pyramid_l2.jpg,assets/icon_pyramid_l2.jpg
icon.tif,provided,pyramid,ncc,3741,3244,17,41,23,89,12.329,outputs/icon_pyramid_ncc.jpg,assets/icon_pyramid_ncc.jpg
ilemselga.tif,provided,pyramid,l2,3800,3270,7,40,11,130,7.128,outputs/ilemselga_pyramid_l2.jpg,assets/ilemselga_pyramid_l2.jpg
ilemselga.tif,provided,pyramid,ncc,3800,3270,7,40,11,130,13.918,outputs/ilemselga_pyramid_ncc.jpg,assets/ilemselga_pyramid_ncc.jpg
melons.tif,provided,pyramid,l2,3770,3241,10,81,13,178,6.822,outputs/melons_pyramid_l2.jpg,assets/melons_pyramid_l2.jpg
melons.tif,provided,pyramid,ncc,3770,3241,10,81,13,178,11.765,outputs/melons_pyramid_ncc.jpg,assets/melons_pyramid_ncc.jpg
monastery.jpg,provided,pyramid,l2,391,341,2,-3,2,3,0.404,outputs/monastery_pyramid_l2.jpg,assets/monastery_pyramid_l2.jpg
monastery.jpg,provided,pyramid,ncc,391,341,2,-3,2,3,1.145,outputs/monastery_pyramid_ncc.jpg,assets/monastery_pyramid_ncc.jpg
religous_painting.tif,provided,pyramid,l2,3742,3193,3,28,7,68,6.704,outputs/religous_painting_pyramid_l2.jpg,assets/religous_painting_pyramid_l2.jpg
religous_painting.tif,provided,pyramid,ncc,3742,3193,3,28,7,68,12.244,outputs/religous_painting_pyramid_ncc.jpg,assets/religous_painting_pyramid_ncc.jpg
self_portrait.tif,provided,pyramid,l2,3810,3251,29,79,37,176,6.724,outputs/self_portrait_pyramid_l2.jpg,assets/self_portrait_pyramid_l2.jpg
self_portrait.tif,provided,pyramid,ncc,3810,3251,29,79,37,176,11.988,outputs/self_portrait_pyramid_ncc.jpg,assets/self_portrait_pyramid_ncc.jpg
siren.tif,provided,pyramid,l2,3817,3250,-6,49,-25,96,8.85,outputs/siren_pyramid_l2.jpg,assets/siren_pyramid_l2.jpg
siren.tif,provided,pyramid,ncc,3817,3250,-6,49,-25,96,15.431,outputs/siren_pyramid_ncc.jpg,assets/siren_pyramid_ncc.jpg
three_generations.tif,provided,pyramid,l2,3714,3209,14,53,11,111,6.986,outputs/three_generations_pyramid_l2.jpg,assets/three_generations_pyramid_l2.jpg
three_generations.tif,provided,pyramid,ncc,3714,3209,14,53,11,111,12.107,outputs/three_generations_pyramid_ncc.jpg,assets/three_generations_pyramid_ncc.jpg
tobolsk.jpg,provided,pyramid,l2,396,341,3,3,3,6,0.441,outputs/tobolsk_pyramid_l2.jpg,assets/tobolsk_pyramid_l2.jpg
tobolsk.jpg,provided,pyramid,ncc,396,341,3,3,3,6,1.181,outputs/tobolsk_pyramid_ncc.jpg,assets/tobolsk_pyramid_ncc.jpg
wharf.tif,provided,pyramid,l2,3761,3244,-7,15,-16,83,8.968,outputs/wharf_pyramid_l2.jpg,assets/wharf_pyramid_l2.jpg
wharf.tif,provided,pyramid,ncc,3761,3244,-7,15,-16,83,14.62,outputs/wharf_pyramid_ncc.jpg,assets/wharf_pyramid_ncc.jpg
cathedral.jpg,provided,single,l2,390,341,2,5,3,12,0.327,outputs/cathedral_single_l2.jpg,assets/cathedral_single_l2.jpg
cathedral.jpg,provided,single,ncc,390,341,2,5,3,12,0.829,outputs/cathedral_single_ncc.jpg,assets/cathedral_single_ncc.jpg
monastery.jpg,provided,single,l2,391,341,2,-3,2,3,0.374,outputs/monastery_single_l2.jpg,assets/monastery_single_l2.jpg
monastery.jpg,provided,single,ncc,391,341,2,-3,2,3,0.789,outputs/monastery_single_ncc.jpg,assets/monastery_single_ncc.jpg
tobolsk.jpg,provided,single,l2,396,341,3,3,3,6,0.258,outputs/tobolsk_single_l2.jpg,assets/tobolsk_single_l2.jpg
tobolsk.jpg,provided,single,ncc,396,341,3,3,3,6,0.687,outputs/tobolsk_single_ncc.jpg,assets/tobolsk_single_ncc.jpg
